name,time,settingskey,settingsvalue
MSCSettings,1699226785000000000,userStopSchema,13/13/12/13/13/12/12/6/12/13/12/13/12/2/12/13
MSCSettings,1699226826000000000,isBrakeArray,x2222222122222122
MSCSettings,1699226830000000000,isNormalOPActivated,false
MSCSettings,1699226845000000000,userStopSchema,13/13/12/13/13/12/12/6/12/13/12/13/12/12/12/13
MSCSettings,1699226886000000000,isBrakeArray,x2222222122222222
MSCSettings,1699226890000000000,isNormalOPActivated,true
MSCSettings,1699228146000000000,isBrakeArray,x22222212222222
MSCSettings,1699228206000000000,isBrakeArray,x2222222122222222
MSCSettings,1699228746000000000,isBrakeArray,x2222212122222222
MSCSettings,1699228806000000000,isBrakeArray,x2222222122222222
MSCSettings,1699228866000000000,isBrakeArray,x22222212222
MSCSettings,1699228926000000000,isBrakeArray,x2222222122222222
MSCSettings,1699228986000000000,isBrakeArray,x1111111111111111
MSCSettings,1699229046000000000,isBrakeArray,x2222222122211111
MSCSettings,1699229106000000000,isBrakeArray,x2222222122222222
MSCSettings,1699229167000000000,isBrakeArray,x1111111111111111
MSCSettings,1699229227000000000,isBrakeArray,x2222111111111111
MSCSettings,1699229286000000000,isBrakeArray,x1111111111111111
MSCSettings,1699229467000000000,isBrakeArray,x2222111111111111
MSCSettings,1699229526000000000,isBrakeArray,x2222222122222222
MSCSettings,1699229587000000000,isBrakeArray,x1111111111111111
MSCSettings,1699229706000000000,isBrakeArray,x2222222121111111
MSCSettings,1699229766000000000,isBrakeArray,x1111111111111111
MSCSettings,1699229826000000000,isBrakeArray,x2222222122222222
MSCSettings,1699230186000000000,isBrakeArray,x1222222112122222
MSCSettings,1699230205000000000,userStopSchema,12/13/12/13/13/12/12/6/2/13/2/13/12/12/2/13
MSCSettings,1699230246000000000,isBrakeArray,x2222222122222222
MSCSettings,1699230265000000000,userStopSchema,12/13/12/13/13/12/12/6/12/13/12/13/12/12/12/13
MSCSettings,1699230306000000000,isBrakeArray,x222122
MSCSettings,1699230366000000000,isBrakeArray,x1111111111111111
MSCSettings,1699230426000000000,isBrakeArray,x2211111111111111
MSCSettings,1699230486000000000,isBrakeArray,x2222222122222222
MSCSettings,1699230606000000000,isBrakeArray,x1111111111111111
MSCSettings,1699230726000000000,isBrakeArray,x2211111111111111
MSCSettings,1699230786000000000,isBrakeArray,x1111111111111111
MSCSettings,1699230906000000000,isBrakeArray,x2222222122222111
MSCSettings,1699230966000000000,isBrakeArray,x2222222122222222
MSCSettings,1699231026000000000,isBrakeArray,x2221
MSCSettings,1699231087000000000,isBrakeArray,x1111111111111111
MSCSettings,1699231146000000000,isBrakeArray,x2222222122222222
MSCSettings,1699231387000000000,isBrakeArray,x1111111111111111
MSCSettings,1699231446000000000,isBrakeArray,x2222222122222222
MSCSettings,1699231747000000000,isBrakeArray,x22221
MSCSettings,1699231806000000000,isBrakeArray,x1112221111122222
MSCSettings,1699231825000000000,userStopSchema,12/12/12/13/13/12/12/6/2/2/2/13/12/12/12/13
MSCSettings,1699231867000000000,isBrakeArray,x2222222122222222
MSCSettings,1699231885000000000,userStopSchema,12/12/12/13/13/12/12/6/12/12/12/13/12/12/12/13
MSCSettings,1699231927000000000,isBrakeArray,x1111111111111111
MSCSettings,1699231987000000000,isBrakeArray,x2211111111111111
MSCSettings,1699232047000000000,isBrakeArray,x2222222122222222
MSCSettings,1699232167000000000,isBrakeArray,x1111111111111111
MSCSettings,1699232227000000000,isBrakeArray,x2222222122222221
MSCSettings,1699232287000000000,isBrakeArray,x2222222122222222
MSCSettings,1699232347000000000,isBrakeArray,x1111111111111111
MSCSettings,1699232407000000000,isBrakeArray,x2222222122222111
MSCSettings,1699232467000000000,isBrakeArray,x2221
MSCSettings,1699232527000000000,isBrakeArray,x1111111111111111
MSCSettings,1699232647000000000,isBrakeArray,x2222222122222111
MSCSettings,1699232707000000000,isBrakeArray,x2222222122222222
MSCSettings,1699232767000000000,isBrakeArray,x1111111111111111
MSCSettings,1699232887000000000,isBrakeArray,x2222222122211111
MSCSettings,1699232947000000000,isBrakeArray,x2222222122222222
MSCSettings,1699233007000000000,isBrakeArray,x1111111111111111
MSCSettings,1699233067000000000,isBrakeArray,x2222222122222222
MSCSettings,1699233127000000000,isBrakeArray,x1111111111111111
MSCSettings,1699233187000000000,isBrakeArray,x2221
MSCSettings,1699233247000000000,isBrakeArray,x2222222122222222
MSCSettings,1699233607000000000,isBrakeArray,x2222222112121222
MSCSettings,1699233625000000000,userStopSchema,12/12/12/13/13/12/12/6/2/12/2/13/2/12/12/13
MSCSettings,1699233667000000000,isBrakeArray,x2222222122222222
MSCSettings,1699233685000000000,userStopSchema,12/12/12/13/13/12/12/6/12/12/12/13/12/12/12/13
MSCSettings,1699233787000000000,isBrakeArray,x1111111111111111
MSCSettings,1699233847000000000,isBrakeArray,x2211111111111111
MSCSettings,1699233907000000000,isBrakeArray,x2221
MSCSettings,1699233967000000000,isBrakeArray,x1111111111111111
MSCSettings,1699234027000000000,isBrakeArray,x2222222122222222
MSCSettings,1699234507000000000,isBrakeArray,x1111111111111111
MSCSettings,1699234525000000000,userStopSchema,12/12/12/13/12/12/12/6/12/2/2/13/12/12/12/13
MSCSettings,1699234585000000000,userStopSchema,12/12/12/13/12/12/12/6/12/12/12/13/12/12/12/13
MSCSettings,1699234687000000000,isBrakeArray,x2222222122211111
